File,cSpell message,Result type,Template,Issue,notes
_includes/about-page/about-card-sponsors.html,"""Cleantech"": Unknown word.",False Positive,words,https://github.com/hackforla/website/issues/5675,excludes the term
_includes/about-page/about-card-sponsors.html,"""Collabathon"": Unknown word.",False Positive,words,https://github.com/hackforla/website/issues/5684,excludes the term
_includes/about-page/about-card-sustainability.html,"""Undebate"": Unknown word.",False Positive,ignoreWords,https://github.com/hackforla/website/issues/5685,"excludes the term from words, but needed to be ignoreWords"
_includes/about-page/about-card-sustainability.html,"""FOLA"": Unknown word.",False Positive,ignoreWords,,
_includes/about-page/about-card-sustainability.html,"""LBGTQI"": Unknown word.",False Positive,words,,
_includes/about-page/about-card-sustainability.html,"""Westside"": Unknown word.",False Positive,words,,
_includes/current-guides.html,"""toolkitresources"": Unknown word.",False Positive,,,
_includes/current-projects-check.html,,,,,
_includes/events-page/our-locations-content.html',"""hfla"": Unknown word.",False Positive,words,,can't find in code base
_includes/resource-card.html,"""ionicons"": Unknown word.",False Positive,words,,
_includes/resource-card.html,"""Cleantech"": Unknown word [ln 7]",False Positive,words,,
_includes/sponsors.html,"""Sonder"": Unknown word [ln 12]",False Positive,ignoreWords,,
_includes/sponsors.html,"""Sonder"": Unknown word [ln 13]",False Positive,ignoreWords,,
_includes/sponsors.html,"""markdownify"": Unknown word.",False Positive,words,,
_layouts/guide-pages.html,"""markdownify"": Unknown word. [ln 16, Col 52]",False Positive,words,,
_layouts/guides.html,"""markdownify"": Unknown word. [ln 43, Col 30]",False Positive,words,,
_layouts/guides.html,"""forloop"": Unknown word. [ln 30]",False Positive,,,
_layouts/project.html,"""forloop"": Unknown word. [ln 48]",False Positive,,,
_layouts/project.html,"""forloop"": Unknown word. [ln 59]",False Positive,,,
_layouts/project.html,"""forloop"": Unknown word. [ln 68]",False Positive,,,
_layouts/project.html,"""Hfla"": Unknown word. [ln 136]",False Positive,,,
_layouts/project.html,"""mediumdarkcyanblue"": Unknown word. [ln 182]",False Positive,,,
_layouts/project.html,"""markdownify"": Unknown word. [ln 188]",False Positive,words,,
_layouts/project.html,"""markdownify"": Unknown word. [ln 188]",False Positive,words,,
_layouts/project.html,"""Nums"": Unknown word. [ln 200]",False Positive,,,
_layouts/project.html,"""Automations"": Unknown word. [Ln 25, Col15]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""automations"": Unknown word. [Ln 26, Col 39]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""Automations"": Unknown word. [Ln 27, Col 20]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""automations"": Unknown word. [Ln 27, Col 174]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""Automations"": Unknown word. [Ln 27, Col 220]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""Wireframing"": Unknown word. [Ln 32, Col 16]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""Wireframe"": Unknown word. [Ln 57, Col 16]",False Positive,words,,
_program-areas/civic-tech-infrastructure-card.yml,"""writeforall"": Unknown word. [Ln 22, Col 43]",False Positive,ignoreWords,,
_program-areas/diversity-equity-inclusion-card.yml,"""incentivizing"": Unknown word.",False Positive,words,,
_program-areas/environment-card.yml,"""envirnoment"": Unknown word.",Misspelling,Misspelling,,the asset it reffers to is also mispelled the PR needs to fix both this file and the asset file: https://github.com/hackforla/website/blob/gh-pages/assets/images/program-areas/envirnoment.png
_program-areas/environment-card.yml,"""Railstats"": Unknown word.",False Positive,ignoreWords,,
_program-areas/environment-card.yml,"""ontime"": Unknown word.",False Positive,,,
_program-areas/environment-card.yml,"""youthjusticenav"": Unknown word.",False Positive,ignoreWords,,
_program-areas/justice-card.yml,"""ballotnav"": Unknown word.",False Positive,ignoreWords,,
_program-areas/vote-representation-card.yml,"""hellogov"": Unknown word.",False Positive,ignoreWords,,
_program-areas/vote-representation-card.yml,"""hackforla"": Unknown word.",False Positive,,,
_program-areas/workforce-development-card.yml,"""chillin"": Unknown word. [ln 11]",False Positive,words,,
_projects/home-unite-us.md,"""pdfs"": Unknown word [In 129]",False Positive,,,
_projects/home-unite-us.md,"""wireframes"": Unknown word [In 134]",False Positive,words,,
_projects/home-unite-us.md,"""OIDC"": Unknown word [In 145]",False Positive,,,
/pages/code-of-conduct.html,"""codeofconduct"": Unknown word.",False Positive,,,
